DRI
TGT
UUU
VSC
ACWN
SPR
AAQ
ARL
A4Y
APM
ADS
ADD
ADL
ADJ
ADV
AAH
AIR
AIXA
ASL
A1OS
ALV
AOX
SFP1
AAD
AT1
ART
AOF
AAG
NDA
AVES
BNN
BAS
BSL
BST
B5A
BMW3
BMW
BAYN
BYW
BYW6
BBZA
BC8
BFSA
BEI
BDT
ACX
GBF
B8F
BIO
BIO3
BVB
BNR
COK
CPX
AFX
CEC
CEC1
CSH
CEV
CWC
COM
CBK
COP
EV4
CON
CCAP
1COV
CSQ
CE2
EVD
DAI
DAM
ERMK
DHER
DEX
DMRE
DMP
DBK
DB1
DEQ
DFV
JB7
DPW
DWNI
DEZ
DLG
DIC
DBD
GIL
HNL
DRW8
DRW3
DBAN
DKG
PBB
DTE
DUE
DWS
EOAN
EUZ
E4C
ED4
EIN3
ELG
ZIL2
ELB
CAP
ECX
EUCA
EVK
EVT
EXC
EXN
FAA
FRU
FIE
SIS
FEV
FPH
FRA
FNTN
FME
FRE
FPE3
FPE
FBEN
G1A
GME
GXI
GWI1
GSC1
GFT
GGS
GKS
GWD
GMM
GYC
GLJ
2HRA
HAB
HHFA
HNR1
HLAG
HAW
WL6
HDD
HEI
HLE
HFG
HEN
HEN3
HLG
HOT
HOC
H24
HBH
HBM
BOSS
HYQ
INH
IFX
IXX
IGY
INS
ISH2
IS7
IVX
ISR
IVU
JEN
JST
JUN3
SDF
KGX
KCO
KBX
SKB
KSC
KRN
KU2
KWS
LXS
LEG
LEI
LEO
LIN
TGHN
LO24
LPK
ECK
LHA
MXHN
M5Z
MZX
MBB
MED
MDG1
MRK
B4B
B4B3
M3V
MLP
MGNK
MOR
MTX
MUV2
MVV1
NEM
NXU
NFN
NDX1
NOEJ
OHB
OSR
O4B
PA8
PGN
PAT
O2C
PFV
PNE3
PCZ
PWO
PSM
PSAN
PUM
TPE
QIA
690D
QSC
RSL2
RAA
RHM
RHK
RIB
RKET
RY8
RRTL
RWE
RWE3
SANT
SFQ
SZG
SAP
SRT
SRT3
SHA
SLT
G24
YSN
SEN
SJJ
F3C
SGL
SAE
SIE
SHL
WAF
SNG
LNSX
SIX2
SIX3
BTBB
AM3D
S92
S4A
SHF
SYT
SOW
STM
SNH
SBS
SAX
SF3
SZU
SMHN
SUR
SY1
SYZ
TEG
TTK
TLX
TTR1
TC1
O2D
TLI
TKA
TLG
TTI
UN01
ULC
OSP2
UTDI
VAO
VQT
VAR1
VBK
VIB3
V6C
V3V
VOW
VOW3
VBX
VNA
VOS
VT9
WCH
WAC
WSU
WUG
WUG3
WEW
WDLK
WDI
WUW
O1BC
YOC
ZAL
TIM
ZO1
HRPK
AAA
LUM
ADN1
AGX
AB1
ABA
ALG
AEIN
TXA
5AB
NSU
DTD2
BKS3
BEZ
HUL
BIJ
BSY
8GS
CHX
CNWK
O5G
CUR
333
DFTK
WIN
DIE
FAM1
DRE2
ESY
EIS
ELN
EWI
EBK
EKT
USE
ERWE
BNT1
FVI
FGT
FRS
FNG
CEA
FRO
FRO3
WWG
GIB
G7B
H9Y
IPOA
H2FA
RTML
IFA
IFS
ITN
I7N
JJO
LCY
KPH
IUR
HETA
KWG
KA8
K1R
KSB
KSB3
LSX
MUS
MPRK
MNV6
MAN
MAN3
KCC
n.a
MBH3
MAK
MDN
ILM1
HWSA
ML2
MSAG
MPS
MLL
XMY
MYRK
FCT
NSN
NC5A
NWX
OMAX
ODE
OMR
O5H
OBS
ICP
02P
EMH1
HBD1
HOZ
PS4
PIT
PUZ
PAH3
EXJ
RTC
HP3
BUF
SWA
SCM
SCE
SW1
SIM
SZZ
SGU
8S9
SFX
SPM
SBE
WIG1
99SC
STE
STO3
SVAB
TCU
ARX
TIS
ERO1
TVD6
TTO
TUR
US5
CRIN
UPR
UP7
UZU
FKE
VMR1
VDN
OLG
VG0K
WTB
WTB3
MSH
WCMK
RKB
WBAH
WZM
YMO
YB1A
RTV
ZEF
2GB
A6T
BSS
B7E
CLIQ
CC1
CYR
4DS
D6H
DAR
DLX
DIS
DGR
DR0
EDL
EQS
HXCK
FC9
A7A
FTK
FYB
GSJ
HPBK
H5E
IBU
A8A
L1OA
MF6
MA1
MUM
M3B
MPCK
MUX
C1V
MBC
M0Y
NTG
N7G
NUVA
NBG6
M7U
VVV3
PAL
PBY
RCMN
PZS
S9I
N4G
GTK
V3S
WGF1
