Code,Name,Cur,Price,+/-,%+/-,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Symbol
LSAE,LIFE SETTLE. E,USD,1.7,0.0,0.0,,,,,LSAE
LSAA,LIFE SETTLEMEN,USD,1.73,0.0,0.0,,,,,LSAA
LME,LIMITLESS EAR.,GBX,13.0,0.0,0.0,,,,,LME
LTI,LINDSELL TRAIN,GBP,950.0,-75.0,-7.32,,,,,LTI
LIO,LIONTRUST A.M.,GBX,910.0,-68.0,-6.95,,,,,LIO
LIT,LITIGATION CAP.,GBX,47.0,-10.0,-17.54,,,,,LIT
LVCG,LIVE COMPANY,GBX,12.5,-1.0,-7.41,,,,,LVCG
LIV,LIVERMORE,GBX,37.0,0.0,0.0,,,,,LIV
LLOY,LLOYDS GRP.,GBX,36.99,-5.12,-12.17,,,,,LLOY
LMS,LMS CAPITAL,GBX,31.6,0.0,0.0,,,,,LMS
LSR,LOCAL SHOP.,GBX,31.5,0.0,0.0,,,,,LSR
LSAI,LOCATION SCIENC,GBX,0.82,-0.1,-10.81,,,,,LSAI
LOK,LOK'N STORE GRP,GBX,545.0,-38.0,-6.52,,,,,LOK
LAS,LON.& ASS.PROPS,GBX,19.5,-0.5,-2.5,,,,,LAS
LFI,LON.FIN&INV.GRP,GBX,35.5,-3.0,-7.79,,,,,LFI
LSC,LON.SEC,GBX,2350.0,0.0,0.0,,,,,LSC
LSE,LON.STK.EXCH,GBX,6356.0,-680.0,-9.66,,,,,LSE
LMP,LONDONMETRIC,GBX,174.0,-27.8,-13.78,,,,,LMP
LBE,LONGBOAT ENERGY,GBX,68.5,-12.5,-15.43,,,,,LBE
LOOK,LOOKERS,GBX,22.45,-1.55,-6.46,,,,,LOOK
LOOP,LOOPUP GROUP,GBX,43.0,-8.0,-15.69,,,,,LOOP
LGRS,LOUNGERS PLC,GBX,182.0,-19.0,-9.45,,,,,LGRS
LWB,LOW & BONAR,GBX,9.9,-0.07,-0.75,,,,,LWB
LWI,LOWLAND INV.,GBX,1120.0,-10.0,-0.88,,,,,LWI
LPA,LPA GROUP,GBX,91.5,-4.5,-4.69,,,,,LPA
LSL,LSL PROP,GBX,265.0,-22.0,-7.67,,,,,LSL
LUCE,LUCECO,GBX,91.8,-10.2,-10.0,,,,,LUCE
LXI,LXI REIT,GBX,114.8,-7.4,-6.06,,,,,LXI
WINK,M WINKWORTH,GBX,137.5,0.0,0.0,,,,,WINK
SAA,M&C SAATCHI,GBX,62.0,-18.0,-22.5,,,,,SAA
MGCI,M&G CREDIT INC.,GBX,98.0,0.0,0.0,,,,,MGCI
MNG,M&G PLC,GBX,148.6,-19.4,-11.55,,,,,MNG
MPE,M.P. EVANS,GBX,512.0,-132.0,-20.5,,,,,MPE
MPO,MACAU PROPERTY,GBX,99.0,0.0,0.0,,,,,MPO
MACF,MACFARLANE GRP.,GBX,92.8,-4.8,-4.92,,,,,MACF
MNO,MAESTRANO GROU.,GBX,2.0,-0.15,-6.98,,,,,MNO
MAI,MAINTEL HLDGS,GBX,202.0,-9.0,-4.26,,,,,MAI
MAJE,MAJEDIE INV.,GBX,201.5,0.0,0.0,,,,,MAJE
MLVN,MALVERN INT PLC,GBX,0.3,-0.05,-14.29,,,,,MLVN
MNL,MANCHESTER&LON.,GBX,510.0,0.0,0.0,,,,,MNL
MDOB,MANDARIN IN.BER,USD,2.16,0.0,0.0,,,,,MDOB
MDOJ,MANDARIN IN.JER,USD,1.66,0.0,0.0,,,,,MDOJ
MMC,MANGMNT.CONS.GP,GBX,1.1,0.0,0.0,,,,,MMC
MANO,MANOLETE PARTN.,GBX,246.0,-44.0,-15.17,,,,,MANO
MPLS,MARBLE POINT ?,GBX,63.5,0.0,0.0,,,,,MPLS
MPLF,MARBLE POINT L.,USD,0.78,0.0,0.0,,,,,MPLF
MAC,MARECHALE CAP.,GBX,0.78,0.0,0.0,,,,,MAC
MKS,MARKS & SP.,GBX,108.45,-20.5,-15.9,,,,,MKS
MRL,MARLOWE,GBX,419.0,-17.0,-3.9,,,,,MRL
MMH,MARSHALL MOTOR,GBX,136.0,-2.5,-1.8,,,,,MMH
MSLH,MARSHALLS,GBX,665.5,-18.5,-2.7,,,,,MSLH
MARS,MARSTON'S,GBX,61.2,-9.55,-13.5,,,,,MARS
MNP,MARTIN C.GLBL,GBX,265.00,-15.5,-5.53,,,,,MNP
MTMY,MATOMY MEDIA,GBX,3.81,-0.54,-12.41,,,,,MTMY
