"Naam";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"Hoog";"Laag";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"1000MERCIS";"FR0010285965";"ALMIL";"Euronext Growth Paris";"EUR";"29.00";"29.40";"28.80";"29.00";"22/03/2019 17:28";"CET";"1348";"39276.20"
"2CRSI";"FR0013341781";"2CRSI";"Euronext Paris";"EUR";"9.68";"9.74";"9.66";"9.70";"22/03/2019 17:35";"CET";"2697";"26130.02"
"4SERVICE CLOUD";"CH0299791381";"MLOVE";"Euronext Access Paris";"EUR";"0.135";"0.135";"0.135";"0.135";"06/03/2019 16:30";"CET";"200";"27.01"
"A TOUTE VITESSE";"FR0010050773";"MLATV";"Euronext Access Paris";"EUR";"1.92";"1.92";"1.92";"1.92";"22/02/2019 16:30";"CET";"1";"1.92"
"A.S.T. GROUPE";"FR0000076887";"ASP";"Euronext Paris";"EUR";"4.95";"5.04";"4.925";"5.03";"22/03/2019 17:35";"CET";"23656";"117827.145"
"AALBERTS INDUSTR";"NL0000852564";"AALB";"Euronext Amsterdam";"EUR";"31.90";"31.90";"30.34";"30.46";"22/03/2019 17:35";"CET";"652922";"20135682.81"
"AB INBEV";"BE0974293251";"ABI";"Euronext Brussels";"EUR";"73.75";"73.75";"71.65";"71.81";"22/03/2019 17:37";"CET";"2471017";"178641501.62"
"AB SCIENCE";"FR0010557264";"AB";"Euronext Paris";"EUR";"3.948";"4.09";"3.784";"3.792";"22/03/2019 17:35";"CET";"143370";"561082.368"
"ABBEY PLC";"IE0000020408";"DOY";"Euronext Growth Dublin";"EUR";"15.30";"15.30";"15.30";"15.30";"19/03/2019 12:47";"UTC";"326";"4777.80"
"ABC ARBITRAGE";"FR0004040608";"ABCA";"Euronext Paris";"EUR";"6.10";"6.12";"6.04";"6.04";"22/03/2019 17:35";"CET";"34903";"211929.10"
"ABEO";"FR0013185857";"ABEO";"Euronext Paris";"EUR";"29.90";"29.90";"29.80";"29.80";"22/03/2019 17:07";"CET";"111";"3307.90"
"ABIVAX";"FR0012333284";"ABVX";"Euronext Paris";"EUR";"8.81";"9.00";"8.81";"8.82";"22/03/2019 17:35";"CET";"6474";"57747.92"
"ABN AMRO Group";"NL0011540547";"ABN";"Euronext Amsterdam";"EUR";"20.09";"20.09";"19.425";"19.50";"22/03/2019 17:35";"CET";"3648235";"71656670.885"
"ABO GROUP";"BE0974278104";"ABO";"Euronext Brussels";"EUR";"2.40";"2.40";"2.40";"2.40";"22/03/2019 16:30";"CET";"150";"360.00"
"ACACIA PHARMA";"GB00BYWF9Y76";"ACPH";"Euronext Brussels";"EUR";"1.7678";"1.92";"1.75";"1.875";"22/03/2019 17:35";"CET";"182121";"329575.847"
"ACANTHE DEV.";"FR0000064602";"ACAN";"Euronext Paris";"EUR";"0.52";"0.53";"0.52";"0.53";"22/03/2019 15:36";"CET";"8450";"4418.50"
"ACCELL GROUP";"NL0009767532";"ACCEL";"Euronext Amsterdam";"EUR";"22.40";"22.60";"22.15";"22.25";"22/03/2019 17:35";"CET";"77949";"1744893.75"
"ACCENTIS";"BE0003696102";"ACCB";"Euronext Brussels";"EUR";"0.041";"0.041";"0.0405";"0.0405";"22/03/2019 15:27";"CET";"336950";"13661.475"
"ACCOR";"FR0000120404";"AC";"Euronext Paris";"EUR";"38.00";"38.00";"36.96";"36.96";"22/03/2019 17:35";"CET";"1326908";"49304454.69"
"ACCOR NV19";"FR0013390556";"ACNV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"ACCSYS";"GB00BQQFX454";"AXS";"Euronext Amsterdam";"EUR";"1.35";"1.35";"1.345";"1.345";"22/03/2019 16:58";"CET";"12621";"17023.635"
"ACHETER-LOUER.FR";"FR0010493510";"ALALO";"Euronext Growth Paris";"EUR";"0.0212";"0.0212";"0.0206";"0.0206";"22/03/2019 16:40";"CET";"1232262";"25708.5436"
"ACKERMANS V.HAAREN";"BE0003764785";"ACKB";"Euronext Brussels";"EUR";"135.40";"136.00";"134.10";"134.10";"22/03/2019 17:35";"CET";"23982";"3225745.60"
"ACTEOS";"FR0000076861";"EOS";"Euronext Paris";"EUR";"1.305";"1.31";"1.30";"1.30";"22/03/2019 15:02";"CET";"843";"1103.155"
"ACTIA GROUP";"FR0000076655";"ATI";"Euronext Paris";"EUR";"3.92";"3.935";"3.83";"3.835";"22/03/2019 17:35";"CET";"20767";"80381.29"
"ACTIPLAY (GROUPE)";"FR0011038348";"ALACT";"Euronext Growth Paris";"EUR";"0.916";"0.954";"0.846";"0.846";"22/03/2019 15:18";"CET";"5294";"4596.534"
"ACTIVIUM GROUP";"FR0010979377";"MLACT";"Euronext Access Paris";"EUR";"1.50";"1.50";"1.50";"1.50";"14/03/2019 11:30";"CET";"151";"226.50"
"ADA";"FR0000053076";"ALADA";"Euronext Growth Paris";"EUR";"10.60";"10.60";"10.40";"10.60";"22/03/2019 16:46";"CET";"411";"4351.80"
"ADC SIIC";"BE0974269012";"ALDV";"Euronext Paris";"EUR";"0.086";"0.086";"0.086";"0.086";"22/03/2019 16:30";"CET";"1223";"105.178"
"ADEUNIS";"FR0013284627";"ALARF";"Euronext Growth Paris";"EUR";"5.199";"5.199";"5.051";"5.199";"22/03/2019 15:21";"CET";"694";"3511.462"
"ADL PARTNER";"FR0000062978";"ALP";"Euronext Paris";"EUR";"14.85";"14.85";"14.85";"14.85";"22/03/2019 14:01";"CET";"282";"4187.70"
"ADOCIA";"FR0011184241";"ADOC";"Euronext Paris";"EUR";"14.88";"14.96";"14.02";"14.20";"22/03/2019 17:35";"CET";"16237";"235519.38"
"ADOMOS";"FR0013247244";"ALADO";"Euronext Growth Paris";"EUR";"0.808";"0.822";"0.808";"0.82";"22/03/2019 17:24";"CET";"22244";"18150.128"
"ADOMOS BS";"FR0013247228";"ALABS";"Euronext Growth Paris";"EUR";"0.001";"0.0012";"0.0008";"0.0008";"22/03/2019 17:15";"CET";"49825";"49.5742"
"ADP";"FR0010340141";"ADP";"Euronext Paris";"EUR";"174.90";"174.90";"172.80";"172.80";"22/03/2019 17:37";"CET";"49348";"8543761.90"
"ADTHINK";"FR0010457531";"ALADM";"Euronext Growth Paris";"EUR";"1.19";"1.20";"1.19";"1.20";"22/03/2019 16:36";"CET";"380";"452.70"
"ADUX";"FR0012821890";"ADUX";"Euronext Paris";"EUR";"2.70";"2.70";"2.70";"2.70";"08/03/2019 17:35";"CET";"100";"270.00"
"ADVENIS";"FR0004152874";"ADV";"Euronext Paris";"EUR";"1.405";"1.405";"1.325";"1.35";"22/03/2019 16:23";"CET";"1728";"2345.55"
"ADVICENNE";"FR0013296746";"ADVIC";"Euronext Paris";"EUR";"10.10";"10.45";"10.10";"10.35";"22/03/2019 13:18";"CET";"1241";"12650.766"
"ADVINI";"FR0000053043";"ADVI";"Euronext Paris";"EUR";"26.60";"26.60";"26.40";"26.40";"22/03/2019 15:58";"CET";"150";"3973.60"
"ADYEN";"NL0012969182";"ADYEN";"Euronext Amsterdam";"EUR";"681.00";"683.00";"657.80";"657.80";"22/03/2019 17:36";"CET";"69044";"46032861.00"
"AEDIFICA";"BE0003851681";"AED";"Euronext Brussels";"EUR";"84.80";"84.80";"84.30";"84.50";"22/03/2019 17:35";"CET";"8628";"729393.00"
"AEGON";"NL0000303709";"AGN";"Euronext Amsterdam";"EUR";"4.549";"4.568";"4.301";"4.31";"22/03/2019 17:39";"CET";"12886887";"56178440.962"
"AFONE PARTICIP.";"FR0000044612";"AFO";"Euronext Paris";"EUR";"11.50";"11.50";"11.50";"11.50";"21/03/2019 11:01";"CET";"73";"839.50"
"AG3I";"FR0011908045";"MLAGI";"Euronext Access Paris";"EUR";"3.46";"3.46";"3.46";"3.46";"12/11/2018 12:53";"CET";"12";"41.52"
"AGEAS";"BE0974264930";"AGS";"Euronext Brussels";"EUR";"43.11";"43.20";"42.34";"42.53";"22/03/2019 17:35";"CET";"567448";"24150649.12"
"AGFA-GEVAERT";"BE0003755692";"AGFB";"Euronext Brussels";"EUR";"3.696";"3.74";"3.64";"3.682";"22/03/2019 17:35";"CET";"366480";"1347891.122"
"AGROGENERATION";"FR0010641449";"ALAGR";"Euronext Growth Paris";"EUR";"0.146";"0.146";"0.14";"0.1405";"22/03/2019 16:34";"CET";"64100";"9012.357"
"AGTA RECORD";"CH0008853209";"AGTA";"Euronext Paris";"EUR";"69.50";"69.50";"69.00";"69.00";"22/03/2019 17:35";"CET";"588";"40582.00"
"AGUAS DA CURIA";"PTCUR0AP0000";"CUR";"Euronext Access Lisbon";"EUR";"1.17";"1.17";"1.17";"1.17";"06/09/2017 20:30";"BST";"32";"37.44"
"AHOLD DEL";"NL0011794037";"AD";"Euronext Amsterdam, Brussels";"EUR";"23.745";"23.78";"23.56";"23.625";"22/03/2019 17:36";"CET";"3702734";"87576611.305"
"AIB GROUP PLC";"IE00BF0L3536";"A5G";"Euronext Dublin";"EUR";"4.00";"4.00";"3.724";"3.856";"21/03/2019 16:33";"UTC";"4693350";"17979073.01"
"AIR FRANCE -KLM";"FR0000031122";"AF";"Euronext Paris, Amsterdam";"EUR";"10.32";"10.35";"9.922";"9.946";"22/03/2019 17:35";"CET";"4244716";"42528745.642"
"AIR LIQUIDE";"FR0000120073";"AI";"Euronext Paris";"EUR";"113.50";"113.50";"110.45";"110.65";"22/03/2019 17:35";"CET";"956868";"106628518.90"
"AIR MARINE";"FR0013285103";"MLAIM";"Euronext Access Paris";"EUR";"3.1005";"3.1005";"3.1005";"3.1005";"22/03/2019 16:30";"CET";"83";"257.3415"
"AIRBUS";"NL0000235190";"AIR";"Euronext Paris";"EUR";"119.44";"119.44";"114.60";"114.60";"22/03/2019 17:36";"CET";"1548212";"179012319.16"
"AJAX";"NL0000018034";"AJAX";"Euronext Amsterdam";"EUR";"16.60";"16.60";"16.40";"16.60";"22/03/2019 17:35";"CET";"3811";"62918.75"
"AKKA TECHNOLOGIES";"FR0004180537";"AKA";"Euronext Paris";"EUR";"62.40";"62.40";"58.30";"58.30";"22/03/2019 17:35";"CET";"54219";"3236067.60"
"AKWEL";"FR0000053027";"AKW";"Euronext Paris";"EUR";"14.90";"14.90";"14.02";"14.10";"22/03/2019 17:35";"CET";"13904";"199749.98"
"AKZO NOBEL";"NL0013267909";"AKZA";"Euronext Amsterdam";"EUR";"81.85";"81.85";"79.34";"79.53";"22/03/2019 17:35";"CET";"788190";"63041560.08"
"ALBIOMA";"FR0000060402";"ABIO";"Euronext Paris";"EUR";"20.50";"20.55";"20.10";"20.55";"22/03/2019 17:35";"CET";"22843";"463507.30"
"ALD";"FR0013258662";"ALD";"Euronext Paris";"EUR";"12.73";"12.74";"12.31";"12.31";"22/03/2019 17:35";"CET";"48505";"602411.29"
"ALES GROUPE";"FR0000054652";"ALPHY";"Euronext Growth Paris";"EUR";"4.39";"4.39";"4.36";"4.36";"22/03/2019 17:35";"CET";"1419";"6192.45"
"ALFEN";"NL0012817175";"ALFEN";"Euronext Amsterdam";"EUR";"12.35";"12.35";"11.546";"11.748";"22/03/2019 17:35";"CET";"35185";"418163.384"
"ALPES (COMPAGNIE)";"FR0000053324";"CDA";"Euronext Paris";"EUR";"24.50";"24.80";"24.00";"24.30";"22/03/2019 17:35";"CET";"16187";"395649.20"
"ALPHA MOS";"FR0000062804";"ALM";"Euronext Paris";"EUR";"0.375";"0.375";"0.365";"0.365";"22/03/2019 17:17";"CET";"2524";"933.044"
"ALSTOM";"FR0010220475";"ALO";"Euronext Paris";"EUR";"39.20";"39.33";"38.24";"38.31";"22/03/2019 17:35";"CET";"472057";"18137004.28"
"ALTAMIR";"FR0000053837";"LTA";"Euronext Paris";"EUR";"15.40";"15.40";"15.32";"15.32";"22/03/2019 17:29";"CET";"1956";"30077.40"
"ALTAREA";"FR0000033219";"ALTA";"Euronext Paris";"EUR";"185.40";"186.00";"183.80";"184.20";"22/03/2019 17:35";"CET";"1195";"221229.40"
"ALTAREIT";"FR0000039216";"AREIT";"Euronext Paris";"EUR";"520.00";"520.00";"520.00";"520.00";"18/03/2019 11:30";"CET";"8";"4160.00"
"ALTEN";"FR0000071946";"ATE";"Euronext Paris";"EUR";"94.85";"95.25";"93.35";"93.90";"22/03/2019 17:35";"CET";"53263";"4998398.10"
"ALTICE EUROPE B";"NL0011333760";"ATCB";"Euronext Amsterdam";"EUR";"2.096";"2.096";"1.977";"1.981";"22/03/2019 17:35";"CET";"43714";"88301.636"
"ALTICE EUROPE N.V.";"NL0011333752";"ATC";"Euronext Amsterdam";"EUR";"2.075";"2.088";"1.9785";"1.986";"22/03/2019 17:35";"CET";"4938095";"9927253.7275"
